team,avg_goals_for,avg_goals_against,win_rate,draw_rate,loss_rate,n_matches,recent_form
Algeria,1.0,1.4615384615384615,0.23076923076923078,0.23076923076923078,0.5384615384615384,13,1.4
Angola,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,3,0.3333333333333333
Argentina,1.7012987012987013,1.0909090909090908,0.5454545454545454,0.18181818181818182,0.2727272727272727,77,1.0
Australia,0.8461538461538461,2.0,0.15384615384615385,0.23076923076923078,0.6153846153846154,13,1.2
Austria,1.4827586206896552,1.6206896551724137,0.41379310344827586,0.13793103448275862,0.4482758620689655,29,1.0
Belgium,1.2682926829268293,1.6097560975609757,0.34146341463414637,0.21951219512195122,0.43902439024390244,41,1.2
Bolivia,0.16666666666666666,3.3333333333333335,0.0,0.16666666666666666,0.8333333333333334,6,0.2
Brazil,2.125,0.9807692307692307,0.6730769230769231,0.16346153846153846,0.16346153846153846,104,1.2
Bulgaria,0.8461538461538461,2.0384615384615383,0.11538461538461539,0.3076923076923077,0.5769230769230769,26,0.4
Cameroon,0.782608695652174,1.8695652173913044,0.17391304347826086,0.30434782608695654,0.5217391304347826,23,0.6
Canada,0.0,1.6666666666666667,0.0,0.0,1.0,3,0.0
Chile,1.2121212121212122,1.4848484848484849,0.3333333333333333,0.21212121212121213,0.45454545454545453,33,1.2
China PR,0.0,3.0,0.0,0.0,1.0,3,0.0
Colombia,1.4444444444444444,1.5,0.3888888888888889,0.1111111111111111,0.5,18,2.4
Costa Rica,1.1333333333333333,1.5333333333333334,0.3333333333333333,0.26666666666666666,0.4,15,0.8
Croatia,1.3125,1.0625,0.4375,0.125,0.4375,16,2.0
Cuba,1.6666666666666667,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.6666666666666667
Czech Republic,1.0,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3,1.0
Czechoslovakia,1.4666666666666666,1.5,0.36666666666666664,0.16666666666666666,0.4666666666666667,30,2.0
Cote d'Ivoire,1.4444444444444444,1.5555555555555556,0.3333333333333333,0.1111111111111111,0.5555555555555556,9,1.6
Denmark,1.6875,1.5,0.5,0.125,0.375,16,1.0
Dutch East Indies,0.0,6.0,0.0,0.0,1.0,1,0.0
Ecuador,1.0,1.1,0.4,0.1,0.5,10,0.6
Egypt,0.75,1.5,0.0,0.5,0.5,4,0.75
El Salvador,0.16666666666666666,3.6666666666666665,0.0,0.0,1.0,6,0.2
England,1.2741935483870968,0.9032258064516129,0.41935483870967744,0.3225806451612903,0.25806451612903225,62,0.8
France,1.7966101694915255,1.2033898305084745,0.4745762711864407,0.2033898305084746,0.3220338983050847,59,2.0
German DR,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.6
Germany,2.1136363636363638,1.0,0.6818181818181818,0.13636363636363635,0.18181818181818182,44,2.4
Germany FR,2.1129032258064515,1.2419354838709677,0.5806451612903226,0.22580645161290322,0.1935483870967742,62,1.4
Ghana,1.0833333333333333,1.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,12,1.4
Greece,0.5,2.0,0.2,0.2,0.6,10,0.6
Haiti,0.6666666666666666,4.666666666666667,0.0,0.0,1.0,3,0.6666666666666666
Honduras,0.3333333333333333,1.5555555555555556,0.0,0.3333333333333333,0.6666666666666666,9,0.2
Hungary,2.71875,1.78125,0.46875,0.09375,0.4375,32,0.8
IR Iran,0.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,0.6666666666666666,6,0.4
Iran,0.8333333333333334,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,6,0.8
Iraq,0.3333333333333333,1.3333333333333333,0.0,0.0,1.0,3,0.3333333333333333
Israel,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,3,0.3333333333333333
Italy,1.5421686746987953,0.927710843373494,0.5421686746987951,0.25301204819277107,0.20481927710843373,83,1.4
Jamaica,1.0,3.0,0.3333333333333333,0.0,0.6666666666666666,3,1.0
Japan,0.8235294117647058,1.2941176470588236,0.23529411764705882,0.23529411764705882,0.5294117647058824,17,0.8
Korea DPR,0.8571428571428571,3.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,7,1.0
Korea Republic,1.0,2.161290322580645,0.16129032258064516,0.2903225806451613,0.5483870967741935,31,1.2
Kuwait,0.6666666666666666,2.0,0.0,0.3333333333333333,0.6666666666666666,3,0.6666666666666666
Mexico,1.0754716981132075,1.7358490566037736,0.2641509433962264,0.2641509433962264,0.4716981132075472,53,1.0
Morocco,0.9230769230769231,1.3846153846153846,0.15384615384615385,0.3076923076923077,0.5384615384615384,13,1.4
Netherlands,1.72,0.96,0.54,0.24,0.22,50,1.2
New Zealand,0.6666666666666666,2.3333333333333335,0.0,0.5,0.5,6,0.4
Nigeria,1.1111111111111112,1.4444444444444444,0.2777777777777778,0.16666666666666666,0.5555555555555556,18,1.0
Northern Ireland,1.0,1.7692307692307692,0.23076923076923078,0.38461538461538464,0.38461538461538464,13,1.0
Norway,0.875,1.0,0.25,0.375,0.375,8,1.0
